"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2220","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:11 MSK 2024","passed","Fri Dec 13 14:35:13 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2805","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:16 MSK 2024","passed","Fri Dec 13 14:38:18 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3066","Проверка перехода на ""Ленту заказов"" из Личного кабинета","tests","Fri Dec 13 14:34:32 MSK 2024","passed","Fri Dec 13 14:34:35 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1795","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:39:18 MSK 2024","passed","Fri Dec 13 14:39:20 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4986","Проверка авторизации и выхода из аккаунта","tests","Fri Dec 13 14:42:05 MSK 2024","passed","Fri Dec 13 14:42:10 MSK 2024","TestPersonalAccount","test_personal_account","",""
"","1895","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:37 MSK 2024","passed","Fri Dec 13 14:37:39 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2820","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:50 MSK 2024","passed","Fri Dec 13 14:38:53 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2133","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:27 MSK 2024","passed","Fri Dec 13 14:37:29 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3180","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:52 MSK 2024","passed","Fri Dec 13 14:36:55 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1532","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:34:47 MSK 2024","passed","Fri Dec 13 14:34:49 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4036","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:37:04 MSK 2024","passed","Fri Dec 13 14:37:09 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2216","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:33 MSK 2024","passed","Fri Dec 13 14:37:36 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4430","Проверка отображения заказов из ""Истории заказов"" пользователя в ""Ленте заказов""","tests","Fri Dec 13 14:40:17 MSK 2024","passed","Fri Dec 13 14:40:21 MSK 2024","TestOrderFeed","test_order_feed","",""
"","1554","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:12 MSK 2024","passed","Fri Dec 13 14:38:13 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1387","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:08 MSK 2024","passed","Fri Dec 13 14:35:10 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","6549","Проверка появления заказа в разделе ""В работе"" после его оформления","tests","Fri Dec 13 14:40:49 MSK 2024","broken","Fri Dec 13 14:40:56 MSK 2024","TestOrderFeed","test_order_feed","",""
"","4072","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:34 MSK 2024","passed","Fri Dec 13 14:36:38 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1340","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:34:50 MSK 2024","passed","Fri Dec 13 14:34:51 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4079","Проверка активности поля при клике на кнопкну ""показать/скрыть"" пароль","tests","Fri Dec 13 14:41:32 MSK 2024","passed","Fri Dec 13 14:41:36 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","3076","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:28 MSK 2024","passed","Fri Dec 13 14:36:31 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4473","Проверка ввода почты и клик по кнопке ""Восстановить""","tests","Fri Dec 13 14:41:15 MSK 2024","passed","Fri Dec 13 14:41:19 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","2216","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:39:02 MSK 2024","passed","Fri Dec 13 14:39:04 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4187","Проверка ввода почты и клик по кнопке ""Восстановить""","tests","Fri Dec 13 14:41:21 MSK 2024","passed","Fri Dec 13 14:41:25 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","2230","Проверка перехода на ""Ленту заказов"" из формы авторизации","tests","Fri Dec 13 14:34:16 MSK 2024","passed","Fri Dec 13 14:34:18 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1783","Проверка перехода на ""Конструктор"" из ""Ленты заказов""","tests","Fri Dec 13 14:34:12 MSK 2024","passed","Fri Dec 13 14:34:14 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4134","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:11 MSK 2024","passed","Fri Dec 13 14:37:15 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1838","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:36 MSK 2024","passed","Fri Dec 13 14:38:37 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4676","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:57 MSK 2024","passed","Fri Dec 13 14:37:02 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4278","Проверка увеличения счетчика ""Выполнено за все время"" при создании нового заказа","tests","Fri Dec 13 14:40:30 MSK 2024","passed","Fri Dec 13 14:40:34 MSK 2024","TestOrderFeed","test_order_feed","",""
"","1784","Проверка перехода на ""Конструктор"" из формы авторизации","tests","Fri Dec 13 14:33:53 MSK 2024","passed","Fri Dec 13 14:33:55 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2403","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:21 MSK 2024","passed","Fri Dec 13 14:38:23 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","6066","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:20 MSK 2024","passed","Fri Dec 13 14:36:26 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","4148","Проверка перехода на ""Ленту заказов"" из Личного кабинета","tests","Fri Dec 13 14:34:25 MSK 2024","passed","Fri Dec 13 14:34:29 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1798","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:30 MSK 2024","passed","Fri Dec 13 14:37:32 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2854","Проверка активности поля при клике на кнопкну ""показать/скрыть"" пароль","tests","Fri Dec 13 14:41:27 MSK 2024","passed","Fri Dec 13 14:41:30 MSK 2024","TestPasswordRecovery","test_password_recovery","",""
"","4338","Проверка авторизации и перехода в раздел ""История заказов""","tests","Fri Dec 13 14:41:53 MSK 2024","passed","Fri Dec 13 14:41:58 MSK 2024","TestPersonalAccount","test_personal_account","",""
"","2146","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:26 MSK 2024","passed","Fri Dec 13 14:35:28 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1841","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:34:55 MSK 2024","passed","Fri Dec 13 14:34:57 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1558","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:05 MSK 2024","passed","Fri Dec 13 14:35:07 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2795","Проверка перехода на ""Ленту заказов"" из Конструктора","tests","Fri Dec 13 14:34:36 MSK 2024","passed","Fri Dec 13 14:34:39 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2570","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:37:16 MSK 2024","passed","Fri Dec 13 14:37:19 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2310","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:42 MSK 2024","passed","Fri Dec 13 14:35:45 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3857","Проверка перехода на ""Конструктор"" из Личного кабинета","tests","Fri Dec 13 14:34:02 MSK 2024","passed","Fri Dec 13 14:34:06 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1925","Проверка перехода на ""Конструктор"" из формы авторизации","tests","Fri Dec 13 14:33:48 MSK 2024","passed","Fri Dec 13 14:33:50 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3590","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:36:13 MSK 2024","passed","Fri Dec 13 14:36:17 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2192","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:15 MSK 2024","passed","Fri Dec 13 14:35:17 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","2313","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:55 MSK 2024","passed","Fri Dec 13 14:35:57 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","3879","Проверка увеличения каунтера ингредиента при добавлении данного ингредиента в заказ","tests","Fri Dec 13 14:38:56 MSK 2024","passed","Fri Dec 13 14:39:00 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","1961","Проверка открытия всплывающего окна с деталями ингредиента и закрытия этого окна","tests","Fri Dec 13 14:35:19 MSK 2024","passed","Fri Dec 13 14:35:21 MSK 2024","TestMainFunctionality","test_main_functionality","",""
"","6547","Проверка успешного оформления заказа с разными наборами ингредиентов авторизованным пользователем","tests","Fri Dec 13 14:39:45 MSK 2024","passed","Fri Dec 13 14:39:51 MSK 2024","TestMainFunctionality","test_main_functionality","",""
